state,Land_Area
Alaska,571951
Texas,"261,797"
California,"155,959"
Montana,"145,552"
New Mexico,"121,356"
Arizona,"113,635"
Nevada,"109,826"
Colorado,"103,718"
Wyoming,"97,100"
Oregon,"95,997"
Idaho,"82,747"
Utah,"82,144"
Kansas,"81,815"
Minnesota,"79,610"
Nebraska,"76,872"
South Dakota,"75,885"
North Dakota,"68,976"
Missouri,"68,886"
Oklahoma,"68,667"
Washington,"66,544"
Georgia,"57,906"
Michigan,"56,804"
Iowa,"55,869"
Illinois,"55,584"
Wisconsin,"54,310"
Florida,"53,927"
Arkansas,"52,068"
Alabama,"50,744"
North Carolina,"48,711"
New York,"47,214"
Mississippi,"46,907"
Pennsylvania,"44,817"
Louisiana,"43,562"
Tennessee,"41,217"
Ohio,"40,948"
Kentucky,"39,728"
Virginia,"39,594"
Indiana,"35,867"
Maine,"30,862"
South Carolina,"30,110"
West Virginia,"24,078"
Maryland,"9,774"
Vermont,"9,250"
New Hampshire,"8,968"
Massachusetts,"7,840"
New Jersey,"7,417"
Hawaii,"6,423"
Connecticut,"4,845"
Delaware,"1,954"
Rhode Island,"1,045"
