"abb","state","fips","population","Land_Area","pop_density"
"AL","Alabama",1,4903185,50744,96.6259065111146
"AK","Alaska",2,731545,571951,1.27903439280638
"AZ","Arizona",4,7278717,113635,64.0534782417389
"AR","Arkansas",5,3017804,52068,57.9588999001306
"CA","California",6,39512223,155959,253.350066363596
"CO","Colorado",8,5758736,103718,55.5230143273106
"CT","Connecticut",9,3565287,4845,735.869349845201
"DE","Delaware",10,973764,1954,498.343909928352
"FL","Florida",12,21477737,53927,398.274278190888
"GA","Georgia",13,10617423,57906,183.356180706663
"HI","Hawaii",15,1415872,6423,220.437801650319
"ID","Idaho",16,1787065,82747,21.5967346248202
"IL","Illinois",17,12671821,55584,227.976054260219
"IN","Indiana",18,6732219,35867,187.699528814788
"IA","Iowa",19,3155070,55869,56.4726413574612
"KS","Kansas",20,2913314,81815,35.6085558882845
"KY","Kentucky",21,4467673,39728,112.456529399919
"LA","Louisiana",22,4648794,43562,106.71672558652
"ME","Maine",23,1344212,30862,43.5555699565809
"MD","Maryland",24,6045680,9774,618.547165950481
"MA","Massachusetts",25,6892503,7840,879.145790816327
"MI","Michigan",26,9986857,56804,175.812566016478
"MN","Minnesota",27,5639632,79610,70.8407486496671
"MS","Mississippi",28,2976149,46907,63.4478649242117
"MO","Missouri",29,6137428,68886,89.0954330342885
"MT","Montana",30,1068778,145552,7.34292898757832
"NE","Nebraska",31,1934408,76872,25.1640129045686
"NV","Nevada",32,3080156,109826,28.0457815089323
"NH","New Hampshire",33,1359711,8968,151.618086529884
"NJ","New Jersey",34,8882190,7417,1197.54482944587
"NM","New Mexico",35,2096829,121356,17.2783298724414
"NY","New York",36,19453561,47214,412.02950396069
"NC","North Carolina",37,10488084,48711,215.312434563035
"ND","North Dakota",38,762062,68976,11.0482196706101
"OH","Ohio",39,11689100,40948,285.462049428544
"OK","Oklahoma",40,3956971,68667,57.6255115266431
"OR","Oregon",41,4217737,95997,43.9361334208361
"PA","Pennsylvania",42,12801989,44817,285.650288952853
"RI","Rhode Island",44,1059361,1045,1013.74258373206
"SC","South Carolina",45,5148714,30110,170.996811690468
"SD","South Dakota",46,884659,75885,11.6578902286354
"TN","Tennessee",47,6829174,41217,165.688283960502
"TX","Texas",48,28995881,261797,110.757117155659
"UT","Utah",49,3205958,82144,39.0285109076743
"VT","Vermont",50,623989,9250,67.4582702702703
"VA","Virginia",51,8535519,39594,215.576072132141
"WA","Washington",53,7614893,66544,114.433953474393
"WV","West Virginia",54,1792147,24078,74.430891270039
"WI","Wisconsin",55,5822434,54310,107.207401951758
"WY","Wyoming",56,578759,97100,5.96044284243048
